요일,호선,역명,새벽,출근,오전,점심,오후,퇴근,저녁,심야
목요일,2호선,신대방,0.6,2.5,1.7,0.9,1.6,1.9,1.4,1.5
목요일,2호선,신도림,1.1,4.3,3.3,1.9,3.4,4.6,2.9,3.0
목요일,2호선,신림,1.1,4.9,3.7,1.9,3.4,4.3,3.4,3.5
목요일,2호선,신설동,0.0,0.3,0.3,0.2,0.3,0.3,0.1,0.1
목요일,2호선,신정네거리,0.3,1.1,0.7,0.4,0.7,0.9,0.6,0.5
목요일,2호선,신촌,0.3,2.0,3.0,2.0,3.3,3.5,2.2,2.6
목요일,2호선,아현,0.2,1.0,0.8,0.5,0.8,0.9,0.6,0.5
목요일,2호선,양천구청,0.2,0.7,0.5,0.3,0.5,0.6,0.4,0.4
목요일,2호선,역삼,0.6,5.8,5.6,1.9,3.4,6.0,2.9,2.0
목요일,2호선,영등포구청,0.3,2.5,1.6,0.8,1.5,2.4,1.2,1.0
목요일,2호선,왕십리(성동구청),0.2,1.1,1.0,0.6,1.1,1.4,0.9,1.1
목요일,2호선,용답,0.1,0.3,0.2,0.1,0.2,0.2,0.1,0.2
목요일,2호선,용두(동대문구청),0.0,0.2,0.2,0.1,0.2,0.2,0.1,0.1
목요일,2호선,을지로3가,0.2,2.7,1.7,0.8,1.6,2.8,1.3,1.3
목요일,2호선,을지로4가,0.2,1.3,1.2,0.7,1.2,1.5,0.6,0.5
목요일,2호선,을지로입구,0.4,5.1,3.7,1.9,3.4,5.4,2.9,2.2
목요일,2호선,이대,0.2,1.2,1.5,0.9,1.4,1.6,0.9,1.0
목요일,2호선,잠실(송파구청),0.9,5.4,6.0,3.2,6.1,7.4,4.9,4.4
목요일,2호선,잠실나루,0.3,1.5,1.3,0.7,1.2,1.3,0.7,0.6
목요일,2호선,잠실새내,0.3,1.9,1.7,1.0,1.9,2.1,1.4,1.4
목요일,2호선,종합운동장,0.2,0.8,0.7,0.4,1.0,1.8,0.6,1.4
목요일,2호선,충정로(경기대입구),0.1,1.2,0.8,0.4,0.7,1.1,0.5,0.4
목요일,2호선,한양대,0.1,0.8,1.3,0.8,1.2,1.1,0.5,0.5
목요일,2호선,합정,0.4,2.2,2.3,1.3,2.3,3.3,2.2,2.3
목요일,2호선,홍대입구,0.6,2.8,4.5,3.3,6.0,6.5,4.8,5.6
목요일,3호선,가락시장,0.1,0.8,0.7,0.4,0.7,0.9,0.5,0.4
목요일,3호선,경복궁(정부서울청사),0.2,2.1,2.3,1.3,2.3,2.4,1.1,0.9
목요일,3호선,경찰병원,0.1,0.9,0.6,0.3,0.5,0.7,0.4,0.3
목요일,3호선,고속터미널,0.4,1.7,3.7,2.7,4.9,3.9,2.7,1.7
목요일,3호선,교대(법원.검찰청),0.1,0.9,1.1,0.6,1.1,1.5,0.7,0.7
목요일,3호선,구파발,0.6,2.1,1.5,0.9,1.6,1.7,1.2,1.1
목요일,3호선,금호,0.2,0.8,0.6,0.3,0.6,0.6,0.4,0.4
목요일,3호선,남부터미널(예술의전당),0.4,2.9,2.4,1.2,2.3,3.2,1.4,1.1
목요일,3호선,녹번,0.4,1.7,1.0,0.5,0.9,1.2,0.9,0.7
목요일,3호선,대청,0.2,1.1,0.7,0.4,0.8,0.9,0.5,0.5
목요일,3호선,대치,0.2,1.0,0.8,0.5,1.0,1.1,0.6,0.8
목요일,3호선,도곡,0.1,0.6,0.5,0.2,0.5,0.5,0.3,0.2
목요일,3호선,독립문,0.2,0.7,0.7,0.4,0.7,0.6,0.3,0.3
목요일,3호선,동대입구,0.1,0.8,1.1,0.6,0.9,1.1,0.5,0.5
목요일,3호선,매봉,0.2,1.4,1.0,0.5,0.8,1.4,0.6,0.5
목요일,3호선,무악재,0.1,0.4,0.3,0.2,0.3,0.4,0.3,0.2
목요일,3호선,불광,0.3,1.5,1.3,0.8,1.4,1.4,0.9,0.8
목요일,3호선,수서,0.3,1.7,1.5,0.9,1.4,1.7,1.0,0.8
목요일,3호선,신사,0.2,1.7,2.6,1.1,2.1,2.9,1.7,1.5
목요일,3호선,안국,0.3,2.3,2.4,1.4,2.5,2.7,1.0,0.7
목요일,3호선,압구정,0.3,2.2,3.1,1.4,2.6,3.1,1.9,1.2
